SystemDate,AccountNumber,OfficeRR,Currency,SecurityType,Symbol,CUSIP,Sedol,SecurityDescription,TodayUnrealizedPL,TodayRealizedPL,TodayCouponInterest,TodayFundingInterest,TodayTotalPL,MTDUnrealizedPL,MTDRealizedPL,MTDCouponInterest,MTDFundingInterest,MTDTotalPL
10/20/2023,66TX0040,TX26,USD,Treasury Notes,,91282CHE4,BP489T6,US TREAS NOTE 5 YEAR MATURITY 05/31/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Treasury Notes,,91282CHL8,BQXV164,US TREAS NOTE 2 YEAR MATURITY 06/30/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Treasury Notes,,91282CHT1,BRT3QG6,US TREAS NOTE 9 YEAR 10 MONTH MATURITY 08/15/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.3859,0.0,206.3859
10/20/2023,66TX0040,TX26,USD,Treasury Notes,,91282CHX2,BMGC3Q0,US TREAS NOTE 5 YEAR MATUIRTY 08/31/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0040,TX26,USD,Corporate Bonds,,95000U3F8,BNFZXQ7,WELLS FARGO & CO MEDIUM TERM S R NTS BOOK ENTRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,14308CAA1,,CARLYLE AVIATION ELEVATE MERGE 7.000% 10/15/24 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,253651AC7,,DIEBOLD NXDF INC 8.500% 04/15/24 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,724479AP5,BNC23N8,PITNEY BOWES INC 6.875% 03/15/27 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,767754CK8,BKKK6B2,RITE AID CORP 7.500% 07/01/25 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,89668QAE8,,TRINSEO MATLS OPER SCA / FIN 5.375% 09/01/25 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,96208LAA9,BFN22B2,WEWORK COS INC 7.875% 05/01/25 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,C94143AL5,,VALEANT PHARMACEUTICALS INTL 5.500% 11/01/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,G0R209AA8,BN92KS5,AADVANTAGE LOYALTY IP LTD/ AME 0.000% 04/20/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9445,0.0,95.9445
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,G63601AA9,BJRC948,NABORS INDUSTRIES LTD 7.250% 01/15/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,U11128AA0,BJ5CBM2,BROOKFIELD PPTY REIT INC / BPR 5.750% 05/15/26,0.0,0.0,47.9167,0.0,47.9167,0.0,0.0,79.8611,0.0,79.8611
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,U13077AM1,,CALUMET SPECIALTY PRODUCTS PAR 9.750% 07/15/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,U23888AE7,BMTCZR2,DAVITA INC 4.625% 06/01/30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,U25507AA9,BQB9NY2,DISH NETWORK CORPORATION 11.750% 11/15/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.2359,0.0,114.2359
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,U4949EAA0,BMCLTX0,KLX ENERGY SERVICES HOLDINGS 11.500% 11/01/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,U55655AA9,BLFG560,MAGIC MERGECO INC 5.250% 05/01/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,U6203WAA6,BNG5DZ5,MOZART DEBT MERGER SUB INC 3.875% 04/01/29,0.0,0.0,16.1458,0.0,16.1458,0.0,0.0,53.8192,0.0,53.8192
10/20/2023,66TX0063,TX23,USD,Corporate Bonds,,U96217AA9,BG45079,WEWORK COS INC 7.875% 05/01/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0069,TX24,USD,Corporate Bonds,,878155AE0,BFZ2JD1,TEAM INC 5.000% 08/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0072,TX23,USD,Corporate Bonds,,35640YAA5,,FREEDOM MORTGAGE CORPORATION 8.125% 11/15/24 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0072,TX23,USD,Corporate Bonds,,35640YAB3,,FREEDOM MORTGAGE CORPORATION 8.250% 04/15/25 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0095,TX23,USD,Corporate Bonds,,35640YAA5,,FREEDOM MORTGAGE CORPORATION 8.125% 11/15/24 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0111,TX26,USD,Corporate Bonds,,71654QCC4,BD3NBC5,PETROLEOS MEXICANOS 6.750% 09/21/47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0111,TX26,USD,Treasury Notes,,91282CEJ6,BMXW6J7,US TREAS NTS 4YR 10 MONTH MATURITY 04/15/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0114,TX26,USD,Corporate Bonds,,458140CK4,BMX7HC2,INTEL CORP SR NT 5.9%63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0114,TX26,USD,Corporate Bonds,,459200BB6,B8DFHD9,INTERNATIONAL BUSINESS MACHS 5.875% 11/29/32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0114,TX26,USD,Corporate Bonds,,92343VBT0,BF320B8,VERIZON COMMUNICATIONS INC 6.550% 09/15/43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0116,TX26,USD,Corporate Bonds,,46124HAE6,BNNJDT4,INTUIT 5.250% 09/15/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0116,TX26,USD,Treasury Notes,,91282CGC9,BMCVF10,US TREAS NOTE 5 YEAR MATURITY 12/31/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0116,TX26,USD,Treasury Notes,,91282CGH8,BL6BW07,US TREAS NOTE 5 YEAR MATURITY 01/31/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0116,TX26,USD,Treasury Notes,,91282CGP0,BMTY6H5,US TREAS NOTE 5 YEAR MATURITY 02/29/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0121,TX24,USD,Corporate Bonds,,369604BQ5,,GENERAL ELECTRIC CO VAR 02/21/67 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0121,TX24,USD,Corporate Bonds,,74251VAL6,,PRINCIPAL FINL GROUP INC VAR 05/15/55 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0124,TX24,USD,Corporate Bonds,,25470XAL9,B9WGB72,DISH DBS CORP 5.000% 03/15/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0124,TX24,USD,Corporate Bonds,,26885BAD2,,EQT MIDSTREAM PARTNERS LP 0.000% 07/15/23 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0124,TX24,USD,Corporate Bonds,,29082HAA0,,EMBRAER NETHERLANDS FIN 5.050% 06/15/25 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0124,TX24,USD,Corporate Bonds,,69073TAR4,BZ56Z57,OWENS-BROCKWAY GLASS CONTAINER 5.875% 08/15/23 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0124,TX24,USD,Corporate Bonds,,69889MAA0,,PAR PETROLEUM LLC / PAR PETR 7.750% 12/15/25 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0124,TX24,USD,Corporate Bonds,,733174AK2,,POPULAR INC 6.125% 09/14/23 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0124,TX24,USD,Corporate Bonds,,88167AAD3,BD3GP22,TEVA PHARMACEUTICAL FIN NETH 2.800% 07/21/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0286,TX24,USD,Municipal Bonds,,74526QKX9,,PUERTO RICO ELEC PWR AUTH PWR PWR REV BDS              TT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0288,TX24,USD,Convertible Corporate Bonds,,530715AG6,2519311,LIBERTY MEDIA CORP SR EXCH DEB 4%29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0296,TX24,USD,Corporate Bonds,,53069QAB5,,LIBERTY LATIN AMERICA LTD 2.000% 07/15/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0301,TX26,USD,Corporate Bonds,,53944YAV5,,LLOYDS BANKING GROUP PLC VAR 03/06/73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0305,TX24,USD,Corporate Bonds,,369604BQ5,,GENERAL ELECTRIC CO VAR 02/21/67 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0313,TX26,USD,Corporate Bonds,,02005NBS8,BMZPG72,ALLY FINL INC SUB NT SUB NT 6.7%33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0313,TX26,USD,Corporate Bonds,,06675FBB2,,BANQUE FED DU CRED MUTUEL 5.790% 07/13/28 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0313,TX26,USD,Corporate Bonds,,61747YFB6,BL0NRR1,MORGAN STANLEY SUB NT FIXED RA TE RESET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0313,TX26,USD,Treasury Notes,,91282CGC9,BMCVF10,US TREAS NOTE 5 YEAR MATURITY 12/31/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0313,TX26,USD,Treasury Notes,,91282CGH8,BL6BW07,US TREAS NOTE 5 YEAR MATURITY 01/31/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0359,TX24,USD,Corporate Bonds,,699374AB0,,PARATEK PHARMACEUTICALS INC 4.750% 05/01/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7292,0.0,6.7292
10/20/2023,66TX0369,TX24,USD,Convertible Corporate Bonds,,09257WAE0,BMZQQW0,BLACKSTONE MORTGAGE TRUST INC 5.500% 03/15/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0369,TX24,USD,Convertible Corporate Bonds,,95790DAD7,BNYDKF0,WESTERN ASSET MORTGAGE CAPITAL 6.750% 09/15/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0380,TX26,USD,Corporate Bonds,,71647NBH1,BMX3690,PETROBRAS GLBL FIN B V 5.600% 01/03/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0475,TX23,USD,Corporate Bonds,,04010LAX1,BKKDHD0,ARES CAP CORP 4.200% 06/10/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0475,TX23,USD,Corporate Bonds,,21036PBN7,BQB3P60,CONSTELLATION BRANDS INC 0.000% 02/02/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0475,TX23,USD,Corporate Bonds,,375558BF9,,GILEAD SCIENCES INC 3.650% 03/01/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0475,TX23,USD,Corporate Bonds,,548661EK9,BNNPQZ9,LOWES COS INC 0.000% 09/08/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0475,TX23,USD,Corporate Bonds,,64110LAG1,,NETFLIX INC 5.750% 03/01/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0475,TX23,USD,Corporate Bonds,,778296AA1,BZ1BBG9,ROSS STORES INC 3.375% 09/15/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0475,TX23,USD,Corporate Bonds,,92343EAH5,,VERISIGN INC 5.250% 04/01/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.8333,0.0,145.8333
10/20/2023,66TX0480,TX24,USD,Corporate Bonds,,05351XAB7,,AVAYA HLDGS CORP 2.250% 06/15/23 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Municipal Bonds,,248297BU6,,DENHAM SPRINGS-LIVINGSTON HSG SING FAM MORT REV BDS    2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Mortgage-Backed and Government Agencies,,3134GX4N1,BPJKRR1,FEDERAL HOME LN MTG CORP 5.270% 10/27/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Municipal Bonds,,452152KQ3,,ILLINOIS ST GO BDS                   2012B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Municipal Bonds,,645913AA2,,NEW JERSEY ECONOMIC DEV AUTH S REV BDS                  1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Money Market,,69355NBH7,,PNC BK NATL ASSN WILMINGTON DE 4.650% 08/23/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Municipal Bonds,,704387AF6,,PAYNE CNTY OKLA ECONOMIC DEV A REV BDS                  A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Corporate Bonds,,79745AAY7,,SAN DIEGO SEASIDE CHURCH OF 6.250% 03/01/38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Money Market,,82669GDR2,,SIGNATURE BK NEW YORK N Y 3.100% 02/05/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Mortgage-Backed and Government Agencies,,911759HM3,,HOUSING URBAN DEVELOPMENT 6.010% 08/01/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Collateralized Debt Obligations,,911760LH7,,USVA VENDEE MTGE TR 1998-1 2-E TRANCHE 2-E    TRANCHE  2-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0545,TX27,USD,Corporate Bonds,,G3812TAA9,,GENERAL SHOPPING INVTS LTD VAR 02/21/67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0547,TX26,USD,Corporate Bonds,,37959GAD9,BRRH8V9,GLOBAL ATLANTIC FIN CO SR 144A NT 33 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0547,TX26,USD,Corporate Bonds,,469814AB3,BQ1P4R0,JACOBS ENGINEERING GROUP INC J ACOBS ENGR GROUP I NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0547,TX26,USD,Corporate Bonds,,649840CV5,BS0FMX7,NEW YORK ST ELEC & GAS CORP SR 144A NT 33 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0547,TX26,USD,Corporate Bonds,,655844CS5,BRZW957,NORFOLK SOUTHN CORP SR NT 5.35%54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0547,TX26,USD,Corporate Bonds,,744573AX4,BRBVWV5,PUBLIC SVC ENTERPRISE GROUP IN C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-212.6736,0.0,-212.6736
10/20/2023,66TX0547,TX26,USD,Corporate Bonds,,853254CT5,,STANDARD CHARTERED PLC SR 144A NT 27 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0547,TX26,USD,Treasury Bonds,,912810TU2,BQC4SL8,UNITED STATES TREAS BDS 19 YEAR 10 MONTHS 08/15/43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.3261,0.0,110.3261
10/20/2023,66TX0547,TX26,USD,Treasury Notes,,91282CHA2,BMDLR24,US TREAS NOTE 5 YEAR MATURITY 04/30/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0547,TX26,USD,Treasury Notes,,91282CHC8,BQYLTK3,US TREAS NOTE 9 YEAR 10 MONTH MATURITY 05/15/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0579,TX23,USD,Corporate Bonds,,35640YAA5,,FREEDOM MORTGAGE CORPORATION 8.125% 11/15/24 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0673,TX23,USD,Convertible Corporate Bonds,,46122TAA0,BG21KJ1,INTREXON CORP 3.000% 07/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0673,TX23,USD,Corporate Bonds,,878155AE0,BFZ2JD1,TEAM INC 5.000% 08/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0710,TX26,USD,Corporate Bonds,,02005NBS8,BMZPG72,ALLY FINL INC SUB NT SUB NT 6.7%33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0710,TX26,USD,Corporate Bonds,,753272AA1,BMZMHT2,RAND PARENT LLC SR SECD NT 144 A RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0710,TX26,USD,Treasury Notes,,91282CGC9,BMCVF10,US TREAS NOTE 5 YEAR MATURITY 12/31/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0710,TX26,USD,Treasury Notes,,91282CGH8,BL6BW07,US TREAS NOTE 5 YEAR MATURITY 01/31/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0710,TX26,USD,Treasury Notes,,91282CGM7,BQXLPX9,US TREAS NTS 9 YEAR 10 MONTH MATURITY 02/15/33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0771,TX23,USD,Corporate Bonds,,65441VAA9,,NINE ENERGY SVC INC 8.750% 11/01/23 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0782,TX01,USD,Mortgage-Backed and Government Agencies,,3130AWRE2,BRF28B6,FEDERAL HOME LOAN BANKS 5.110% 08/04/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0782,TX01,USD,Mortgage-Backed and Government Agencies,,3134GX4N1,BPJKRR1,FEDERAL HOME LN MTG CORP 5.270% 10/27/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0804,TX23,USD,Corporate Bonds,,01879NAA3,BD2M5N2,ALLIANCE RES OP PART LP/ALLIAN 7.500% 05/01/25 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0804,TX23,USD,Corporate Bonds,,35640YAA5,,FREEDOM MORTGAGE CORPORATION 8.125% 11/15/24 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0815,TX13,USD,Municipal Bonds,,66285WZW9,,NORTH TEX TWY AUTH REV SYS FIRST TIER REF BDS   2020A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0833,TX24,USD,Convertible Corporate Bonds,,90187BAB7,BMG4RH5,TWO HARBORS INVENTMENT CORPOR SR CV NT 6.25%26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0834,TX24,USD,Corporate Bonds,,144523AC1,,CARRINGTON HLDG COMPANY LLC 8.000% 01/01/26 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0848,TX24,USD,Corporate Bonds,,05351XAB7,,AVAYA HLDGS CORP 2.250% 06/15/23 DO NOT USE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0853,TX52,USD,Municipal Bonds,,64990FYB4,,NEW YORK ST DORM AUTH ST PERS GEN PURP BDS             2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0859,TX12,USD,Municipal Bonds,,650010CJ8,,NEW YORK ST TWY AUTH GEN REV J 2019 B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0890,TX24,USD,Convertible Corporate Bonds,,758075AE5,,REDWOOD TRUST INC 7.750% 06/15/27 RULE 144A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0907,TX59,USD,Treasury Bonds,,S*BJ7BTZ6,BJ7BTZ6,ISRAEL(STATE OF)   2.875 01/29/24 ISS 01/29/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0907,TX59,USD,Treasury Bonds,,S*BJBQD11,BJBQD11,ISRAEL(STATE OF)   2.875 01/29/24 ISS 01/29/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/20/2023,66TX0910,TX27,USD,Collateralized Debt Obligations,,3137AVPG6,,FHLMC REMIC SERIES 4116 YA TRANCHE YATRANCTRANCHE  YA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
